label,row,col,R,G,B
P01,0,0,183.16407775878906,86.39265441894531,78.35265350341797
P02,0,1,51.0,51.0,51.0
P03,1,0,210.30694580078125,140.96653747558594,29.195919036865234
P04,1,1,90.0,90.0,90.0
P05,2,0,233.25796508789062,220.89877319335938,44.80979537963867
P06,2,1,130.0,130.0,130.0
P07,3,0,89.83428192138672,149.3812255859375,62.04326629638672
P08,3,1,170.0,170.0,170.0
P09,4,0,67.99836730957031,133.0008087158203,198.87673950195312
P10,4,1,210.0,210.0,210.0
P11,5,0,148.0432586669922,89.99346923828125,164.08407592773438
P12,5,1,245.0,245.0,245.0
P13,6,0,116.00489807128906,59.99510192871094,47.0
P14,6,1,180.0,30.0,31.0
P15,7,0,198.0,113.0,59.0
P16,7,1,30.0,180.0,29.0
P17,8,0,236.0,199.0,93.0
P18,8,1,30.0,30.0,180.0
P19,9,0,60.0,111.0,70.0
P20,9,1,180.0,180.0,30.0
P21,10,0,53.0,103.0,156.0
P22,10,1,29.913469314575195,180.04734802246094,178.97470092773438
P23,11,0,109.97061157226562,74.0073471069336,120.02449035644531
P24,11,1,179.94285583496094,30.00653076171875,180.95184326171875
